record_id,company_id,product_asset_id,outcome_sentiment_id,business_mode_id,primary_domain_id,strategic_bucket_id,application_domain_id,status_id,notes
1,1,1,1,1,1,1,1.0,1,
2,2,2,2,1,2,2,2.0,2,
3,3,3,2,2,3,1,3.0,3,
4,4,4,3,2,4,1,4.0,4,
5,5,5,2,1,5,3,5.0,3,
6,6,6,3,3,6,1,6.0,5,
7,7,7,1,4,1,1,7.0,6,
8,8,8,3,3,7,3,8.0,7,
9,9,9,1,5,8,1,7.0,6,
10,9,10,3,2,4,1,4.0,4,
11,10,11,3,3,8,1,9.0,7,
12,11,12,1,6,6,4,10.0,8,
13,12,13,3,3,8,1,9.0,9,
14,13,14,1,3,9,5,11.0,8,
15,14,15,3,2,3,1,3.0,10,
16,15,16,3,2,4,1,4.0,9,
17,16,17,1,5,3,1,7.0,6,
18,17,18,3,3,6,1,6.0,7,
19,18,19,3,2,4,1,4.0,5,
20,19,20,3,1,10,2,12.0,7,
21,20,21,3,3,8,1,9.0,7,
22,21,22,3,2,4,1,4.0,10,
23,22,23,2,7,11,3,13.0,11,
24,23,24,3,3,12,2,14.0,7,
25,24,25,3,3,7,3,15.0,7,
26,25,26,2,2,3,1,3.0,3,
27,26,27,3,1,13,2,16.0,7,
28,27,28,3,3,1,1,17.0,7,
29,28,29,3,3,14,5,18.0,7,
30,29,30,1,3,1,1,17.0,6,
31,30,31,3,3,11,3,19.0,7,
32,31,32,2,1,5,3,5.0,3,
33,32,33,3,2,15,3,20.0,12,
34,33,34,3,1,16,4,21.0,7,
35,34,35,3,2,3,1,3.0,5,
36,35,36,1,3,1,1,22.0,8,
37,36,37,1,5,1,1,7.0,8,
38,37,38,3,8,4,4,23.0,7,
39,38,39,1,5,3,1,7.0,6,
40,39,40,3,2,11,3,4.0,10,
41,40,41,1,3,17,2,24.0,8,
42,41,42,3,2,3,1,3.0,5,
43,42,44,1,5,6,1,7.0,6,
44,42,43,3,3,6,1,6.0,7,
45,43,45,3,7,14,5,13.0,4,
46,44,46,3,3,18,2,25.0,7,
47,45,47,3,3,19,5,26.0,7,
48,46,48,3,2,4,1,,7,
49,47,49,3,1,5,3,27.0,7,
50,48,50,3,1,20,5,28.0,7,
51,49,51,3,1,8,1,29.0,2,
52,50,52,2,2,3,1,3.0,3,
53,51,53,1,5,7,3,7.0,6,
54,52,54,3,3,21,5,30.0,7,
55,53,55,2,2,3,1,3.0,3,
56,54,56,3,2,4,1,4.0,4,
57,55,57,1,1,5,3,5.0,6,
58,56,58,2,5,11,3,7.0,11,
59,57,59,3,3,1,1,31.0,7,
60,58,60,3,9,1,1,32.0,12,
61,59,61,3,3,22,4,33.0,7,
62,60,62,3,2,3,1,3.0,10,
63,61,63,1,3,8,1,9.0,6,
64,62,64,3,5,4,1,7.0,13,
65,63,65,1,2,3,1,3.0,6,
66,64,66,3,2,4,1,34.0,1,
67,65,67,3,3,23,2,35.0,7,
68,65,68,3,3,18,2,25.0,7,
69,66,69,3,3,6,1,6.0,4,
70,67,70,2,2,3,1,3.0,3,
71,68,71,1,3,20,5,36.0,6,
72,69,72,3,1,8,1,37.0,4,
73,70,73,3,3,6,1,6.0,7,
74,71,74,3,3,11,3,38.0,7,
75,72,75,3,3,8,1,9.0,7,
76,73,76,1,2,3,1,3.0,8,
77,74,77,1,10,1,1,39.0,8,
78,75,78,3,1,5,3,40.0,7,
79,76,80,3,3,21,5,30.0,7,
80,76,79,3,7,4,1,13.0,4,
81,76,81,3,7,9,5,13.0,4,
82,77,82,3,1,22,4,41.0,7,
83,78,83,3,1,24,2,42.0,7,
84,79,84,3,3,8,1,9.0,7,
85,80,86,3,3,19,5,43.0,7,
86,80,87,3,3,25,5,44.0,7,
87,80,85,1,3,11,3,45.0,8,
88,81,88,3,3,6,1,6.0,14,
89,82,89,3,7,14,5,13.0,4,
90,83,90,3,7,4,1,13.0,4,
91,84,91,3,2,4,1,13.0,4,
92,85,92,3,2,4,1,46.0,7,
93,86,93,3,10,8,1,47.0,7,
94,86,94,1,7,21,5,13.0,8,
95,86,95,3,3,6,1,6.0,7,
96,86,96,3,2,4,1,4.0,4,
97,87,97,3,3,20,5,36.0,7,
98,88,98,1,5,3,1,7.0,6,
99,89,99,2,3,8,1,9.0,6,
100,90,101,1,5,6,1,7.0,6,
101,90,100,2,2,3,1,3.0,1,
102,91,102,3,3,25,5,44.0,7,
103,92,103,3,2,3,1,3.0,4,
104,93,104,3,2,15,3,13.0,4,
105,94,105,3,10,8,1,47.0,7,
106,95,106,3,2,4,1,4.0,4,
107,96,107,1,3,3,1,3.0,8,
108,97,108,3,3,6,1,6.0,3,
109,98,109,3,3,9,5,11.0,7,
110,99,110,3,2,3,1,3.0,10,
111,100,111,3,3,26,4,48.0,7,
112,101,113,3,3,8,1,9.0,7,
113,101,118,1,3,6,1,6.0,8,
114,101,112,1,5,6,1,7.0,6,
115,101,114,3,3,6,1,6.0,7,
116,101,115,3,2,4,1,4.0,4,
117,101,117,3,2,11,3,4.0,10,
118,101,116,1,6,11,4,49.0,8,
119,102,119,3,1,8,1,50.0,4,
120,103,120,2,10,9,5,51.0,2,
121,103,121,3,3,9,5,11.0,7,
122,104,122,3,2,4,1,4.0,10,
123,105,123,3,2,22,4,52.0,14,
124,106,124,3,2,4,1,4.0,10,
125,107,125,1,2,4,1,4.0,8,
126,107,125,1,5,4,1,7.0,6,
127,108,126,2,2,3,1,3.0,1,
128,109,127,1,3,7,3,53.0,1,
129,110,128,3,3,26,4,48.0,10,
130,111,129,3,10,26,4,47.0,7,
131,112,130,2,2,3,1,3.0,3,
132,113,131,3,2,15,3,13.0,4,
133,114,132,3,1,13,2,54.0,14,
134,115,133,3,3,7,3,55.0,6,
135,116,134,3,3,22,4,33.0,7,
136,117,135,3,2,3,1,3.0,10,
137,118,136,3,3,27,2,56.0,7,
138,119,137,3,3,6,1,6.0,7,
139,120,138,3,3,21,5,30.0,7,
140,121,139,2,2,15,3,57.0,3,
141,122,140,3,3,11,3,45.0,7,
142,123,141,2,2,15,3,57.0,3,
143,124,142,3,2,15,3,13.0,4,
144,125,143,2,1,22,4,58.0,2,
145,126,144,3,7,4,1,13.0,4,
146,127,145,2,1,12,2,54.0,2,
147,128,146,1,1,22,4,59.0,6,
148,129,147,2,11,1,1,60.0,3,
149,130,148,3,2,4,1,61.0,4,
150,131,149,2,2,3,1,3.0,3,
151,132,150,3,3,8,1,62.0,7,
152,133,151,3,1,7,3,63.0,7,
153,134,152,2,1,5,3,5.0,3,
154,135,153,2,2,3,1,3.0,1,
155,136,154,3,2,4,1,61.0,10,
156,137,155,3,3,20,5,36.0,7,
157,138,156,3,3,6,1,6.0,7,
158,139,157,1,1,5,3,64.0,8,
159,140,158,1,10,6,1,51.0,6,
